rank;name;value
1;StefNinja;142401389
2;Rousssi;121489266
3;Muryökûsho;115053882
4;Queen Anne II;102335419
5;666pyro666;101801566
6;Malloan;101599713
7;SkyEddy1;94962050
8;Cherwoo White Rabbit;86498128
9;Sky Bum;85122770
10;Avonglati;79964573
11;Chrizzly12;77091535
12;Scherom;72116966
13;MateoJ3T;70107183
14;Kiwi mojo;68631049
15;Sphen of love;68117307
16;StanTheMan078;67934616
17;Michachisa;67213184
18;Lady Voldemordine;63676685
19;Kingstanator;61557626
20;JG1000;61218980
21;Memento x Mori;59889378
22;Kaelvorrn;59812287
23;Mystyyy;59522572
24;DominusMaximus;59058297
25;Scoorpic;58415300
26;Sparta2876;58231055
27;TåNo;57469213
28;Alexys99;56249299
29;Vaidosius;55164525
30;Mepr;54378117
31;krokre2;54137902
32;redskin sw;53645370
33;Jo8sk;52259381
34;Mapthemachine;50668910
35;TankLadyB;50228134
36;Lord Voldemaschine;49451510
37;Qrypsis;49120135
38;Anarchythewildone;48331702
39;Marcin747;47609644
40;Rafmac90;46577984
41;Bru line;45596843
42;out of game;45199149
43;atomic armadillo;44227822
44;Mustang3110;44027513
45;Ati0307;42340103
46;fineclame;41673057
47;Fuzzy Cluster;41637425
48;Superstorm08;41256331
49;whatyousay;40982038
50;Relnevs;40921049
51;Flatulax;40634770
52;1nū KubØ;40470746
53;Lucifi3r;40083671
54;Sbanferr;39680548
55;FESC10;39066282
56;Bladerunner74;37725728
57;Adikonrpk;37191403
58;Ozzy181994;37126793
59;pontios1982;36681713
60;Jeremy2626;36650650
61;Ibo212121;36484157
62;ponghi;36459119
63;CG Kills;35899701
64;Dradeliomecus;35758744
65;domba98;34936046
66;Aquarivs;34186501
67;Krismaski;33655425
68;Olmer The Great I;33338748
69;CyberSagE;33308415
70;Lady Voldegardine;33277986
71;Pumarose;32954717
72;duffyduckling;32650444
73;TesterXo;32237501
74;Myth pala;30999666
75;Dedaloς;30490180
76;UniField 101;30369045
77;CrimsonCriminal;30233088
78;Taibo1988;29702235
79;serbus zagreb;29604435
80;Damian 4488;29123389
81;NagatoUwU;29082028
82;straight 0090;27053621
83;Bongomarvin;26826476
84;Davidx08;26631054
85;ThisIsLoreeP;25717485
86;Pablo 1010;25100290
87;NOÉLINE;24249723
88;Tata111225;24117624
89;Marcatuz;22701904
90;DraAgoOnNiki;20029720
91;SilenceBG;19946624
92;Blo0dThiRsTy;16571326
93;Tugtug17;13781589
94;Mighty Ghost;12345169
95;Quatraz;10598724
96;Miggaboy;9298687
